0.000000000000000000e+00,0.000000000000000000e+00
1.745329251994329547e-02,1.460066763371550135e-11
3.490658503988659095e-02,5.903037731008388420e-11
5.235987755982988989e-02,1.345820705704360627e-10
6.981317007977318190e-02,2.426265954711472899e-10
8.726646259971647390e-02,3.846186736429495655e-10
1.047197551196597798e-01,5.621034289328918563e-10
1.221730476396030718e-01,7.767235406707708227e-10
1.396263401595463638e-01,1.030227092872136452e-09
1.570796326794896558e-01,1.324476200207938099e-09
1.745329251994329478e-01,1.661456502550266991e-09
1.919862177193762398e-01,2.043287632599317336e-09
2.094395102393195596e-01,2.472234775813497933e-09
2.268928027592628516e-01,2.950721458968236747e-09
2.443460952792061436e-01,3.481343723599600432e-09
2.617993877991494078e-01,4.066885863877830123e-09
2.792526803190927276e-01,4.710337935747112108e-09
2.967059728390360474e-01,5.414915276244232561e-09
3.141592653589793116e-01,6.184080309725429748e-09
3.316125578789226314e-01,7.021566962457814868e-09
3.490658503988658956e-01,7.931408060107947128e-09
3.665191429188092154e-01,8.917966145861960309e-09
3.839724354387524796e-01,9.985968232441407215e-09
4.014257279586957994e-01,1.114054509187954730e-08
4.188790204786391191e-01,1.238727579602500896e-08
4.363323129985823834e-01,1.373223835265572376e-08
4.537856055185257032e-01,1.518206744226207184e-08
4.712388980384689674e-01,1.674402045590746087e-08
4.886921905584122872e-01,1.842605327391961515e-08
5.061454830783556069e-01,2.023690751982634778e-08
5.235987755982988157e-01,2.218621138853276423e-08
5.410520681182421354e-01,2.428459660120254776e-08
5.585053606381854552e-01,2.654383460641431866e-08
5.759586531581287749e-01,2.897699586045325164e-08
5.934119456780720947e-01,3.159863692210555714e-08
6.108652381980153034e-01,3.442502124635320871e-08
6.283185307179586232e-01,3.747438103373758131e-08
6.457718232379019430e-01,4.076722939156567674e-08
6.632251157578452627e-01,4.432673453050336394e-08
6.806784082777884715e-01,4.817917094829314082e-08
6.981317007977317912e-01,5.235446680698579511e-08
7.155849933176751110e-01,5.688687235927399826e-08
7.330382858376184307e-01,6.181578183589035005e-08
7.504915783575617505e-01,6.718675138598833618e-08
7.679448708775049592e-01,7.305276946791321080e-08
7.853981633974482790e-01,7.947585491483245829e-08
8.028514559173915988e-01,8.652908367068696439e-08
8.203047484373349185e-01,9.429918048379834671e-08
8.377580409572782383e-01,1.028898599154512476e-07
8.552113334772214470e-01,1.124261654373544310e-07
8.726646259971647668e-01,1.230601384649898958e-07
8.901179185171080865e-01,1.349782470233385126e-07
9.075712110370514063e-01,1.484110922824785338e-07
9.250245035569946150e-01,1.636459080183779867e-07
9.424777960769379348e-01,1.810420313530559262e-07
9.599310885968812546e-01,2.010481921964488803e-07
9.773843811168245743e-01,2.242164419990124285e-07
9.948376736367678941e-01,2.511968511236958061e-07
1.012290966156711214e+00,2.826726042860491662e-07
1.029744258676654534e+00,3.191542998240173942e-07
