0.000000000000000000e+00,0.000000000000000000e+00
1.745329251994329547e-02,1.474814912496513666e-11
3.490658503988659095e-02,5.962664374755947611e-11
5.235987755982988989e-02,1.359414854246828974e-10
6.981317007977318190e-02,2.450773691627750518e-10
8.726646259971647390e-02,3.885037107504540648e-10
1.047197551196597798e-01,5.677812413463552715e-10
1.221730476396030718e-01,7.845692330007784041e-10
1.396263401595463638e-01,1.040633427143571772e-09
1.570796326794896558e-01,1.337854747684785728e-09
1.745329251994329478e-01,1.678238891464915777e-09
1.919862177193762398e-01,2.063926901615471505e-09
2.094395102393195596e-01,2.497206844256057963e-09
2.268928027592628516e-01,2.980526726230541212e-09
2.443460952792061436e-01,3.516508811716767207e-09
2.617993877991494078e-01,4.107965519068514942e-09
2.792526803190927276e-01,4.757917106815264680e-09
2.967059728390360474e-01,5.469611390145689547e-09
3.141592653589793116e-01,6.246545767399424472e-09
3.316125578789226314e-01,7.092491881270520345e-09
3.490658503988658956e-01,8.011523293038331618e-09
3.665191429188092154e-01,9.008046611981779293e-09
3.839724354387524796e-01,1.008683659842566399e-08
4.014257279586957994e-01,1.125307585038338343e-08
4.188790204786391191e-01,1.251239979396465685e-08
4.363323129985823834e-01,1.387094783096537769e-08
4.537856055185257032e-01,1.533542165885057869e-08
4.712388980384689674e-01,1.691315197566410430e-08
4.886921905584122872e-01,1.861217502416122873e-08
5.061454830783556069e-01,2.044132072709732069e-08
5.235987755982988157e-01,2.241031453387147725e-08
5.410520681182421354e-01,2.452989555677024592e-08
5.585053606381854552e-01,2.681195414789324700e-08
5.759586531581287749e-01,2.926969278833660916e-08
5.934119456780720947e-01,3.191781507283388714e-08
6.108652381980153034e-01,3.477274873369010092e-08
6.283185307179586232e-01,3.785291013508845995e-08
6.457718232379019430e-01,4.117901958744007036e-08
6.632251157578452627e-01,4.477447932374077514e-08
6.806784082777884715e-01,4.866582924070014385e-08
6.981317007977317912e-01,5.288329980503615755e-08
7.155849933176751110e-01,5.746148723158989917e-08
7.330382858376184307e-01,6.244018367261652590e-08
7.504915783575617505e-01,6.786540544039226104e-08
7.679448708775049592e-01,7.379067623021536739e-08
7.853981633974482790e-01,8.027864132811359944e-08
