Wavelength,LakeMcKenzieFraserIsland1,LakeMcKenzieFraserIsland2,LakeMcKenzieFraserIsland3,HillInletatNorthernEndofWhitehaven1,HillInletatNorthernEndofWhitehaven2,HillInletatNorthernEndofWhitehaven3,WhitehavenBeach1,WhitehavenBeach2,WhitehavenBeach3,HelfireBayCapeLeGrande1,HelfireBayCapeLeGrande2,HelfireBayCapeLeGrande3,LuckyBayCapeLeGrande1,LuckyBayCapeLeGrande2,LuckyBayCapeLeGrande3,MainBrombieIsland1,MainBrombieIsland2,MainBrombieIsland3,NSWHyamsBeach11,NSWHyamsBeach12,NSWHyamsBeach13,HyamsBeach21,HyamsBeach22,HyamsBeach23,BoatHarbourTas1,BoatHarbourTas2,BoatHarbourTas3,TalkbudgeaCkQLD1,TalkbudgeaCkQLD2,TalkbudgeaCkQLD3,SqueakyBchVIC1,SqueakyBchVIC2,SqueakyBchVIC3,NTBrambyIslandBch1NEArnhemLand1,NTBrambyIslandBch1NEArnhemLand2,NTBrambyIslandBch1NEArnhemLand3,LittleBchTwoPeoplesBayWASite1WashedZone1,LittleBchTwoPeoplesBayWASite1WashedZone2,LittleBchTwoPeoplesBayWASite1WashedZone3,LittleBchTwoPeoplesBayWASite4BackBch1,LittleBchTwoPeoplesBayWASite4BackBch2,LittleBchTwoPeoplesBayWASite4BackBch3,LittleBchTwoPeoplesBayWASite5MidBch1,LittleBchTwoPeoplesBayWASite5MidBch2,LittleBchTwoPeoplesBayWASite5MidBch3,LittleBchTwoPeoplesBayWASite610-20cm1,LittleBchTwoPeoplesBayWASite610-20cm2,LittleBchTwoPeoplesBayWASite610-20cm3
394,0.504495,0.504495,0.504495,0.498362,0.499945,0.500637,0.47561,0.47561,0.476402,0.54525,0.544558,0.543767,0.554351,0.555044,0.55356,0.340287,0.340979,0.338704,0.421699,0.421006,0.41794,0.409729,0.407454,0.408938,0.322184,0.324361,0.324361,0.491141,0.492724,0.494207,0.416456,0.417148,0.416456,0.278363,0.278363,0.280638,0.417148,0.419423,0.417148,0.463245,0.466213,0.466213,0.473038,0.472346,0.472346,0.485898,0.483722,0.484414
395,0.50333,0.50333,0.50333,0.498978,0.499077,0.501154,0.477214,0.477214,0.479391,0.546956,0.54478,0.542604,0.555662,0.557838,0.553485,0.34139,0.343468,0.34139,0.423993,0.421816,0.421816,0.410934,0.408758,0.408758,0.323979,0.326156,0.326156,0.493537,0.493537,0.493636,0.417463,0.41964,0.417463,0.280452,0.280452,0.282629,0.417463,0.419541,0.417463,0.463167,0.467421,0.467421,0.47395,0.471872,0.471872,0.484831,0.482754,0.484831
396,0.504426,0.504426,0.502942,0.500271,0.501755,0.500864,0.479397,0.477913,0.479991,0.547657,0.548547,0.546469,0.557549,0.559627,0.556956,0.34278,0.34189,0.34278,0.423306,0.422713,0.421229,0.410841,0.408764,0.410248,0.32616,0.326754,0.326754,0.494335,0.495819,0.497303,0.417074,0.419151,0.417074,0.281643,0.28016,0.282237,0.417469,0.418063,0.418953,0.465844,0.467032,0.467032,0.473264,0.474154,0.474154,0.486718,0.48464,0.486718
397,0.505942,0.505942,0.504755,0.501886,0.503963,0.502776,0.480219,0.479032,0.480219,0.54967,0.550857,0.54967,0.559662,0.560849,0.559662,0.34389,0.342703,0.34389,0.424124,0.424124,0.422146,0.411263,0.410175,0.412154,0.327072,0.327962,0.327962,0.497137,0.498324,0.499511,0.41898,0.420068,0.41898,0.282453,0.282156,0.283244,0.418683,0.418683,0.420662,0.468446,0.469238,0.468446,0.475273,0.47646,0.47646,0.488431,0.487342,0.489321
398,0.507545,0.507545,0.507545,0.503686,0.505566,0.505368,0.480436,0.480634,0.480634,0.552165,0.55167,0.55167,0.561564,0.561762,0.561564,0.344992,0.345388,0.344695,0.425625,0.425625,0.423943,0.412566,0.412269,0.413951,0.327777,0.329261,0.329459,0.500619,0.500619,0.500916,0.421866,0.421668,0.421668,0.283157,0.285036,0.285036,0.420283,0.420481,0.421965,0.470641,0.472323,0.470641,0.478358,0.478358,0.478358,0.490132,0.490132,0.491814
399,0.508964,0.508964,0.508964,0.505303,0.507084,0.5056,0.481655,0.48314,0.48314,0.55428,0.551213,0.551213,0.561898,0.563383,0.561898,0.34739,0.350358,0.345806,0.427237,0.427237,0.42694,0.415957,0.414473,0.41477,0.330866,0.329679,0.331163,0.501741,0.501741,0.503225,0.423576,0.422092,0.422092,0.284264,0.286045,0.286045,0.420805,0.42229,0.421102,0.471662,0.472058,0.471662,0.479083,0.479083,0.479083,0.491649,0.491649,0.491946
400,0.509778,0.509778,0.509778,0.507205,0.507996,0.507205,0.484249,0.485041,0.48415,0.55559,0.553018,0.553018,0.563605,0.565386,0.563605,0.348889,0.351462,0.347108,0.428838,0.428838,0.427948,0.41746,0.415678,0.41746,0.331276,0.332266,0.332167,0.501763,0.501763,0.503544,0.423495,0.423594,0.422704,0.285661,0.286453,0.287442,0.421417,0.423198,0.422308,0.471782,0.472672,0.472672,0.478807,0.479697,0.479697,0.492066,0.491175,0.492066
401,0.511097,0.511097,0.511097,0.509019,0.509019,0.509019,0.486161,0.486161,0.485171,0.556517,0.555131,0.555131,0.565719,0.567006,0.565719,0.350099,0.350989,0.349208,0.430252,0.430647,0.428965,0.418476,0.416794,0.419861,0.331595,0.334563,0.333277,0.502488,0.502488,0.503774,0.423919,0.425205,0.423523,0.287065,0.287065,0.288451,0.422335,0.423622,0.424017,0.472505,0.473791,0.473791,0.479234,0.480619,0.480619,0.493186,0.491108,0.493186
402,0.513898,0.513898,0.513898,0.510731,0.510731,0.510731,0.485991,0.485991,0.487377,0.556747,0.556648,0.556648,0.567831,0.56793,0.567831,0.351109,0.349823,0.352494,0.431365,0.43285,0.431167,0.420084,0.418402,0.420183,0.333395,0.335176,0.335078,0.504991,0.504991,0.50509,0.426417,0.426516,0.424933,0.288566,0.288566,0.288665,0.423745,0.423844,0.425329,0.475204,0.475303,0.475303,0.481637,0.481736,0.481736,0.496085,0.493017,0.496085
403,0.513827,0.513827,0.513827,0.511748,0.512738,0.512738,0.487304,0.488294,0.487898,0.558262,0.558262,0.558262,0.570039,0.570039,0.569049,0.352712,0.352118,0.353206,0.432576,0.43317,0.431587,0.4208,0.419315,0.421789,0.33569,0.336283,0.337273,0.507295,0.507295,0.506305,0.427925,0.426935,0.426441,0.289671,0.289671,0.289671,0.424362,0.424362,0.425847,0.475824,0.476715,0.476715,0.48196,0.48295,0.48295,0.495914,0.494727,0.495914
404,0.514829,0.514335,0.514335,0.513345,0.514335,0.514335,0.48791,0.489395,0.488405,0.559365,0.55986,0.559365,0.570746,0.571241,0.570251,0.354304,0.354799,0.353314,0.433874,0.433874,0.432389,0.421602,0.420612,0.423086,0.337084,0.337578,0.339063,0.509089,0.508594,0.5081,0.429025,0.428035,0.428035,0.290371,0.290866,0.290866,0.424769,0.425264,0.425759,0.476529,0.478014,0.477618,0.482467,0.483457,0.484446,0.496323,0.495828,0.496323
405,0.516833,0.515447,0.515447,0.515447,0.515447,0.515447,0.487834,0.48922,0.48922,0.560183,0.561469,0.560084,0.57008,0.571465,0.571465,0.355904,0.35729,0.353232,0.43528,0.435379,0.433993,0.422611,0.422512,0.423997,0.337495,0.338881,0.340266,0.5104,0.509113,0.510499,0.429638,0.429638,0.429638,0.29078,0.292166,0.292166,0.425185,0.42657,0.425185,0.477838,0.479223,0.477838,0.483578,0.483578,0.486349,0.497731,0.496346,0.497731
406,0.51684,0.516444,0.516444,0.515455,0.516444,0.516444,0.489622,0.489919,0.489919,0.561576,0.560982,0.560586,0.572067,0.572463,0.572463,0.356998,0.357394,0.356305,0.435682,0.436672,0.435286,0.423508,0.422518,0.424795,0.338391,0.339776,0.340172,0.510209,0.509912,0.511199,0.430238,0.430238,0.430238,0.292863,0.293259,0.293259,0.425389,0.426774,0.425389,0.478636,0.479923,0.478636,0.484971,0.484971,0.485762,0.49853,0.498233,0.49853
407,0.517339,0.517339,0.517339,0.516052,0.517339,0.517339,0.491506,0.490913,0.491506,0.563065,0.561778,0.561778,0.573358,0.573952,0.573952,0.358089,0.358089,0.358683,0.43707,0.437268,0.435982,0.424897,0.424204,0.426183,0.339977,0.340769,0.340769,0.511103,0.511103,0.51239,0.431429,0.431429,0.430835,0.294449,0.294449,0.294943,0.426579,0.427371,0.426579,0.480124,0.481411,0.480124,0.486063,0.486063,0.486063,0.499622,0.499028,0.499622
408,0.518456,0.518357,0.518159,0.51707,0.518159,0.518159,0.493018,0.491929,0.493018,0.564184,0.563096,0.562997,0.57428,0.575666,0.575468,0.359296,0.359494,0.360187,0.439074,0.437985,0.436599,0.426701,0.426504,0.42779,0.34148,0.341678,0.341876,0.512616,0.512814,0.513705,0.432739,0.432838,0.431453,0.295652,0.295652,0.29684,0.428087,0.428087,0.428186,0.482031,0.48312,0.482031,0.48698,0.48698,0.48698,0.500837,0.499551,0.500837
409,0.520732,0.519742,0.518752,0.518554,0.518752,0.518752,0.493116,0.492918,0.493116,0.564382,0.564184,0.563194,0.574775,0.576952,0.575962,0.360781,0.36177,0.359989,0.440261,0.440063,0.437886,0.428483,0.427493,0.428681,0.341282,0.342271,0.343261,0.513902,0.514892,0.5141,0.433432,0.434421,0.432244,0.296642,0.296642,0.29783,0.428582,0.428582,0.429571,0.483416,0.483614,0.483416,0.488167,0.488167,0.488167,0.502222,0.501035,0.502222
410,0.521828,0.52074,0.520245,0.520839,0.520839,0.520839,0.49352,0.494114,0.494708,0.565974,0.56538,0.564786,0.577258,0.578347,0.577258,0.362469,0.363558,0.362469,0.440961,0.441555,0.440466,0.430271,0.429182,0.429677,0.34386,0.344355,0.344949,0.516186,0.516186,0.516186,0.434824,0.435913,0.43423,0.297933,0.298626,0.299121,0.428687,0.429281,0.43037,0.483523,0.484216,0.484216,0.48867,0.489857,0.48867,0.501636,0.501735,0.502824
411,0.522426,0.521635,0.521833,0.522129,0.522426,0.522426,0.494217,0.495008,0.495899,0.566968,0.566176,0.565879,0.579044,0.579341,0.578252,0.364055,0.364946,0.364946,0.441855,0.442647,0.442152,0.431363,0.430571,0.430868,0.346041,0.346338,0.346338,0.517774,0.516982,0.518071,0.436213,0.437005,0.435916,0.299519,0.300311,0.300608,0.429087,0.430175,0.431264,0.483824,0.484615,0.484615,0.489466,0.490851,0.489268,0.501838,0.502432,0.503224
412,0.522624,0.522624,0.523614,0.521734,0.522624,0.522624,0.495305,0.495404,0.495503,0.566374,0.566374,0.565385,0.578747,0.579638,0.578648,0.365639,0.365738,0.365738,0.443538,0.443637,0.441657,0.431363,0.431363,0.432254,0.346338,0.347327,0.347327,0.517477,0.517378,0.518467,0.437401,0.4375,0.43651,0.301103,0.301202,0.302093,0.430373,0.431462,0.432452,0.485011,0.48511,0.48511,0.491148,0.490356,0.490158,0.504511,0.503521,0.50362
